Id,Load_Number__c,Stop_Positions__r
a07S800000MYC1oIAH,111133NWK,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9MTMAY'}), 'Id': 'a0BS8000005r9MTMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9MUMAY'}), 'Id': 'a0BS8000005r9MUMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJKTMA2'}), 'Id': 'a0BS8000005uJKTMA2', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJKUMA2'}), 'Id': 'a0BS8000005uJKUMA2', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xY6MAI'}), 'Id': 'a0BS80000061xY6MAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xY7MAI'}), 'Id': 'a0BS80000061xY7MAI', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC1UIAX,1112RWW5H,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LlMAI'}), 'Id': 'a0BS8000005r9LlMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LmMAI'}), 'Id': 'a0BS8000005r9LmMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJlMAM'}), 'Id': 'a0BS8000005uJJlMAM', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJmMAM'}), 'Id': 'a0BS8000005uJJmMAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xXOMAY'}), 'Id': 'a0BS80000061xXOMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xXPMAY'}), 'Id': 'a0BS80000061xXPMAY', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC0sIAH,1113JN6GK,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9KVMAY'}), 'Id': 'a0BS8000005r9KVMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9KWMAY'}), 'Id': 'a0BS8000005r9KWMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJIVMA2'}), 'Id': 'a0BS8000005uJIVMA2', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJIWMA2'}), 'Id': 'a0BS8000005uJIWMA2', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w0aMAA'}), 'Id': 'a0BS80000061w0aMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w0bMAA'}), 'Id': 'a0BS80000061w0bMAA', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC0dIAH,11144H536,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9K1MAI'}), 'Id': 'a0BS8000005r9K1MAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9K2MAI'}), 'Id': 'a0BS8000005r9K2MAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJI1MAM'}), 'Id': 'a0BS8000005uJI1MAM', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJI2MAM'}), 'Id': 'a0BS8000005uJI2MAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w06MAA'}), 'Id': 'a0BS80000061w06MAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w07MAA'}), 'Id': 'a0BS80000061w07MAA', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC19IAH,111BZY5PG,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9L3MAI'}), 'Id': 'a0BS8000005r9L3MAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9L4MAI'}), 'Id': 'a0BS8000005r9L4MAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJ3MAM'}), 'Id': 'a0BS8000005uJJ3MAM', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJ4MAM'}), 'Id': 'a0BS8000005uJJ4MAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w18MAA'}), 'Id': 'a0BS80000061w18MAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w19MAA'}), 'Id': 'a0BS80000061w19MAA', 'TYPE__c': 'Delivery'})]})"
a07J6000000wDRSIA2,111CJ9KF9,"OrderedDict({'totalSize': 8, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BJ6000000UiSsMAK'}), 'Id': 'a0BJ6000000UiSsMAK', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BJ6000000UiStMAK'}), 'Id': 'a0BJ6000000UiStMAK', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LPMAY'}), 'Id': 'a0BS8000005r9LPMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LQMAY'}), 'Id': 'a0BS8000005r9LQMAY', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJPMA2'}), 'Id': 'a0BS8000005uJJPMA2', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJQMA2'}), 'Id': 'a0BS8000005uJJQMA2', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w1UMAQ'}), 'Id': 'a0BS80000061w1UMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w1VMAQ'}), 'Id': 'a0BS80000061w1VMAQ', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC0fIAH,111KRB5HJ,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9K5MAI'}), 'Id': 'a0BS8000005r9K5MAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9K6MAI'}), 'Id': 'a0BS8000005r9K6MAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJI5MAM'}), 'Id': 'a0BS8000005uJI5MAM', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJI6MAM'}), 'Id': 'a0BS8000005uJI6MAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w0AMAQ'}), 'Id': 'a0BS80000061w0AMAQ', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w0BMAQ'}), 'Id': 'a0BS80000061w0BMAQ', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC1OIAX,111MRZMGG,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LZMAY'}), 'Id': 'a0BS8000005r9LZMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LaMAI'}), 'Id': 'a0BS8000005r9LaMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJZMA2'}), 'Id': 'a0BS8000005uJJZMA2', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJaMAM'}), 'Id': 'a0BS8000005uJJaMAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w1eMAA'}), 'Id': 'a0BS80000061w1eMAA', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061w1fMAA'}), 'Id': 'a0BS80000061w1fMAA', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC1rIAH,111NZRCNH,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9MZMAY'}), 'Id': 'a0BS8000005r9MZMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9MaMAI'}), 'Id': 'a0BS8000005r9MaMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJKZMA2'}), 'Id': 'a0BS8000005uJKZMA2', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJKaMAM'}), 'Id': 'a0BS8000005uJKaMAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xYCMAY'}), 'Id': 'a0BS80000061xYCMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xYDMAY'}), 'Id': 'a0BS80000061xYDMAY', 'TYPE__c': 'Delivery'})]})"
a07S800000MYC1ZIAX,111SQC9LC,"OrderedDict({'totalSize': 6, 'done': True, 'records': [OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LvMAI'}), 'Id': 'a0BS8000005r9LvMAI', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005r9LwMAI'}), 'Id': 'a0BS8000005r9LwMAI', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJvMAM'}), 'Id': 'a0BS8000005uJJvMAM', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS8000005uJJwMAM'}), 'Id': 'a0BS8000005uJJwMAM', 'TYPE__c': 'Delivery'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xXYMAY'}), 'Id': 'a0BS80000061xXYMAY', 'TYPE__c': 'Pickup'}), OrderedDict({'attributes': OrderedDict({'type': 'Stop_Position__c', 'url': '/services/data/v59.0/sobjects/Stop_Position__c/a0BS80000061xXZMAY'}), 'Id': 'a0BS80000061xXZMAY', 'TYPE__c': 'Delivery'})]})"
